City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Isangel,VU,78.3,overcast clouds,-19.55,169.2667,Tanna Lodge
4,Hithadhoo,MV,81.72,broken clouds,-0.6,73.0833,Scoop Guest House
7,Atuona,PF,78.28,clear sky,-9.8,-139.0333,Villa Enata
11,La Plata,AR,76.03,broken clouds,-34.9215,-57.9545,Hotel Corregidor
14,Saint-Philippe,RE,78.39,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
19,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
23,Beloha,MG,76.42,clear sky,-25.1667,45.05,
24,Rikitea,PF,75.69,few clouds,-23.1203,-134.9692,People ThankYou
25,Port-Gentil,GA,82.36,broken clouds,-0.7193,8.7815,Fengshui Residence
27,Sao Filipe,CV,76.33,overcast clouds,14.8961,-24.4956,Hotel Xaguate
30,Sawakin,SD,81.46,clear sky,19.1059,37.3321,فندق الدويم
32,Yulara,AU,76.84,scattered clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
43,Alofi,NU,78.69,light rain,-19.0595,-169.9187,Taloa Heights
44,Butaritari,KI,82.85,few clouds,3.0707,172.7902,Isles Sunset Lodge
50,Tautira,PF,82.42,overcast clouds,-17.7333,-149.15,Pension Oaoa
52,Kangaba,ML,82.94,overcast clouds,11.9333,-8.4167,CAF (case de l´amitié et de la fraternité)
57,Maxixe,MZ,80.42,scattered clouds,-23.8597,35.3472,Oceano
62,Sao Joao Da Barra,BR,80.69,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
64,San Ignacio,BZ,75.34,broken clouds,17.1561,-89.0714,Rainforest Haven Inn
65,Harper,LR,80.24,clear sky,4.375,-7.7169,Screensaver
69,Kavieng,PG,81.95,moderate rain,-2.5744,150.7967,Nusa Island Retreat
70,Port Hedland,AU,82.45,few clouds,-20.3167,118.5667,The Esplanade Hotel
76,Goundi,TD,83.66,scattered clouds,9.3627,17.366,
79,Arraial Do Cabo,BR,80.56,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
86,Bengkulu,ID,75.74,heavy intensity rain,-3.8004,102.2655,Grage Hotel Bengkulu
91,Santa Rosa Del Sur,CO,83.07,broken clouds,7.9644,-74.0544,Hotel hoquidea del sur
97,Bambous Virieux,MU,79.21,few clouds,-20.3428,57.7575,Casa Tia Villa
106,Salalah,OM,77.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
107,Takoradi,GH,81.32,few clouds,4.8845,-1.7554,Raybow International Hotel
114,Poum,NC,79.38,clear sky,-20.2333,164.0167,Gîte kajeon
115,Los Chiles,CR,84.97,broken clouds,11.0333,-84.7167,Cabinas y Apartamentos Felicia
121,Alto Parana,BR,89.96,clear sky,-23.1289,-52.3189,Negão House
126,Vaini,TO,78.17,light rain,-21.2,-175.2,Keleti Beach Resort
134,Castro,BR,80.69,few clouds,-24.7911,-50.0119,CHACARA BAILLY
135,Rio De Janeiro,BR,79.02,broken clouds,-22.9028,-43.2075,Hotel Málaga
140,Poya,NC,76.73,clear sky,-21.35,165.15,
