City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Punta Arenas,-53.15,-70.9167,59.02,41,75,36.82,CL,2021-12-03 17:03:57
1,Fortuna,40.5982,-124.1573,45.52,100,75,8.05,US,2021-12-03 17:03:58
2,Litovko,49.2361,135.1742,-15.25,100,49,1.79,RU,2021-12-03 17:03:58
3,Pisco,-13.7,-76.2167,71.65,73,0,6.91,PE,2021-12-03 17:03:58
4,Loudi,27.7344,111.9944,50.47,45,32,1.74,CN,2021-12-03 17:03:59
5,Bluff,-46.6,168.3333,58.8,95,79,6.08,NZ,2021-12-03 17:03:59
6,Carnarvon,-24.8667,113.6333,71.67,83,0,19.57,AU,2021-12-03 17:03:59
7,Qaanaaq,77.484,-69.3632,12.97,95,100,2.98,GL,2021-12-03 17:04:00
8,Castro,-24.7911,-50.0119,75.2,56,79,4.21,BR,2021-12-03 17:01:10
9,Leningradskiy,69.3833,178.4167,11.84,82,81,11.9,RU,2021-12-03 17:04:00
10,Coquimbo,-29.9533,-71.3436,65.93,68,20,11.5,CL,2021-12-03 17:04:00
11,Busselton,-33.65,115.3333,56.05,68,0,14.32,AU,2021-12-03 17:04:01
12,Puerto Ayora,-0.7393,-90.3518,76.96,78,82,10.65,EC,2021-12-03 17:04:01
13,Mataura,-46.1927,168.8643,58.48,100,86,2.01,NZ,2021-12-03 17:03:02
14,Rikitea,-23.1203,-134.9692,76.15,76,6,15.61,PF,2021-12-03 17:04:02
15,New Norfolk,-42.7826,147.0587,55.92,58,56,5.01,AU,2021-12-03 17:04:02
16,Yellowknife,62.456,-114.3525,-2.58,87,100,11.99,CA,2021-12-03 17:02:03
17,Thohoyandou,-22.9456,30.485,85.87,31,5,4.72,ZA,2021-12-03 17:04:02
18,Sao Borja,-28.6606,-56.0044,88.95,28,3,7.02,BR,2021-12-03 17:04:03
19,Visby,57.6409,18.296,30.42,80,75,8.05,SE,2021-12-03 17:04:03
20,Linshui,36.4247,114.2047,43.74,33,0,3.94,CN,2021-12-03 17:04:03
21,Takoradi,4.8845,-1.7554,83.08,72,75,9.91,GH,2021-12-03 17:04:04
22,Barrow,71.2906,-156.7887,-18.38,69,90,23.02,US,2021-12-03 17:04:04
23,Ushuaia,-54.8,-68.3,54.77,52,87,12.33,AR,2021-12-03 17:01:03
24,Arraial Do Cabo,-22.9661,-42.0278,78.66,65,20,16.11,BR,2021-12-03 17:04:04
25,Geraldton,-28.7667,114.6,68.41,77,0,14.97,AU,2021-12-03 17:04:05
26,Guerrero Negro,27.9769,-114.0611,67.51,65,10,10.89,MX,2021-12-03 17:04:05
27,Bilibino,68.0546,166.4372,-16.56,98,100,11.68,RU,2021-12-03 17:04:05
28,Narsaq,60.9167,-46.05,17.82,66,25,9.04,GL,2021-12-03 17:03:12
29,Jumla,29.2747,82.1838,43.0,88,62,4.83,NP,2021-12-03 17:04:06
30,Butaritari,3.0707,172.7902,82.15,69,51,15.05,KI,2021-12-03 17:04:06
31,Muli,2.9167,73.5667,82.78,75,7,8.01,MV,2021-12-03 17:04:06
32,Mackenzie,55.2999,-123.1698,9.36,97,62,3.2,CA,2021-12-03 17:00:33
33,Lazaro Cardenas,17.9583,-102.2,82.71,67,74,2.95,MX,2021-12-03 17:04:07
34,Hilo,19.7297,-155.09,73.8,94,7,1.99,US,2021-12-03 17:00:44
